,title,content
0,서울자전거 '따릉이' 이용약관 개정 안내,"서울자전거 '따릉이' 이용약관 개정 안내
2021.09.17

서울자전거'따릉이'이용약관 개정 안내


 안녕하세요? 공공자전거 '따릉이'입니다. 서울공공자전거는 다양한 안전사고 예방노력을 통하여 이용자 및 보행자의 생명과 안전을 위하여 최선의 노력을 다하고 있습니다.
이에 발맞추어 공공자전거 음주운전 근절을 위해 다음과 같이 공공자전거 이용약관이 개정됨을 알려드립니다.


1. 개정조문

현행약관
개정약관
제 3장 서비스의 이용 
제12조 회원자격 정지 및 해지
① 서울공공자전거는 아래의 각 호에 해당하는 경우, 회원자격을 정지, 해지할 수 있습니다.
제 3장 서비스의 이용 
제12조 회원자격 정지 및 해지 
① (현행과 동일)

 <신 설>  단, 제16조 제7항 제18호 위반으로 혈중알코올농도 0.03%이상의 술에 취한 상태(도로교통법 제44조 제4항)에서 서울공공자전거를 이용하는 경우에는 1년간 이용자격을 정지합니다.
제 3장 서비스의 이용 
제16조 이용자의 의무와 책임 
⑦ 이용자는 서울공공자전거를 이용할 때, 다음 각 호의 행위를 하지 않아야 합니다.
제 3장 서비스의 이용 
제16조 이용자의 의무와 책임 
⑦ (현행과 동일)

 <신 설>  18. 술을 마신 상태에서 서울공공자전거를 이용하여 주행하는 행위
제 3장 서비스의 이용
제16조 이용자의 의무와 책임
⑩ 이용자는 서울공공자전거를 이용할 때 다음 각 호의 의무사항과 책임을 준수하여야 합니다.
제 3장 서비스의 이용
제16조 이용자의 의무와 책임
⑩ (현행과 동일)

4. 비정상적인 신체 상태(음주, 약물 복용 등으로 인해 정상적인 판단 및 주행이 불가능할 경우나 관련 법률상의 혈중 알코올 농도를 초과했을 경우)인 경우에는 서울공공자전거 대여를 하지 않아야 합니다.
4. (현행과 동일)



 <신 설>  ※ 도로교통법 제44조 제1항 : 누구든지 술에 취한 상태에서 자동차등, 노면전차 또는 자전거를 운전하여서는 아니 된다.



2. 이의제기 및 문의

약관 개정에 대한 이의제기나 문의사항은 서울시설공단 따릉이 콜센터(02-1599-0120)를 통해 가능하며 약관개정에 동의하지 않을 경우 회원 탈퇴요청이 가능합니다.

약관 개정에 대한 사전고지 기간은 2021년 9월 17일부터 10월 17일까지입니다. 사전고지 기간중 개정된 내용에 대한 별도의 이의제기가 없을 경우 개정내용에 동의한 것으로 간주됩니다.아울러, 본 개정약관은 2021년 10월 18일부로 시행예정이며, 게시판을 통하여 별도 공지하도록 하겠습니다.

공공자전거 '따릉이'의 현행 이용약관은 상세보기를 통해 확인하실 수 있습니다.

※ 불가피한 상황 발생시, 별도의 고지없이 시행일이 변경될 수 있습니다.

공공자전거 '따릉이'는 더 나은 서비스 제공을 위해 항상 최선을 다하겠습니다.앞으로도 지속적인 서비스 이용과 관심 부탁드립니다. 감사합니다.
첨부파일 text_title.gif"
1,「교통사망사고 줄이기」따릉이 안전수칙 안내,"「교통사망사고 줄이기」따릉이 안전수칙 안내
2021.08.11
자전거 음주운전 · 역주행 · 주행 중 휴대전화 사용은 엄연한 불법입니다.
시민 여러분의 안전을 위하여 협조 부탁드립니다.
  1. 음주운전 절대 금지
2. 일반도로 역주행 절대 금지
3. 주행 중 휴대전화 사용 절대 금지
  음주운전 · 역주행 · 주행 중 휴대전화 사용 시 범칙금 3만원이 부과됩니다.
(도로교통법 13조, 44조1항, 49조1항 관련)"
2,안드로이드 앱 리뷰이벤트 안내,"안드로이드 앱 리뷰이벤트 안내
2021.09.10
안녕하십니까? 공공자전거 따릉이입니다.
저희 따릉이는 올 3월부터 ‘따릉이 리뉴얼 앱’을 순차적으로 출시한 이후,
챗봇 안내 서비스, 쿠폰 서비스 도입 및 기타 기능 개선 등 이용시민의 편의를 위한 안드로이드 버전 앱 업데이트를 실시했습니다.

이에 따라 ‘따릉이 리뉴얼 앱’의 안드로이드버전에 대한 이용자분들의 의견을 청취하여
현 수준을 진단하고, 추가 개선사항을 발굴하고자 리뷰이벤트를 시행하고 있습니다.

기 간 : 2021.9.14.(화)~10.31.(일)
대 상 : 따릉이 안드로이드버전 앱 이용자 * 동 기간 중 수정리뷰 시민 포함
응모방법
① 플레이스토어 서울자전거 따릉이 앱에 별점을 남겨주시고 리뷰를 작성해주세요. ☞ [플레이스토어 이동]
② 작성하신 리뷰 등록 후 해당 리뷰내용을 캡처하셔서 네이버폼에 캡처하신 화면 등록과 함께 따릉이 아이디를 적어주세요. ☞ [네이버폼 이동]

응모해주신 분 중 300명을 추첨하여 따릉이 이용권(7일, 1시간)을 보내드립니다.

앞으로도 공공자전거 따릉이에 많은 관심 부탁드립니다. 감사합니다.

※ 기존에 리뷰를 작성했을 경우 기간 내 리뷰를 수정 작성해주시기 바랍니다.
※ 캡처화면 및 아이디를 첨부하지 않으실 경우 당첨에서 제외되실 수 있습니다.
※ 당첨되신 분께만 추첨 후 문자메시지로 통보 드릴 예정입니다."
3,[안내] 반납 시 미잠금은 추가요금 부과,"[안내] 반납 시 미잠금은 추가요금 부과
2021.09.06
 안녕하세요. 따릉이입니다. 

  따릉이 반납은 반드시 따릉이 대여소에서 잠금장치 
  체결 후 반납메시지까지 수신돼야 정상반납이 되는 시스템입니다. 
  잠금 후 반납메시지가 수신되었는지 
  꼭 확인하신 후 이동 부탁드립니다.

 자전거 반납시 꼭 자전거 잠금장치 레버를 
 아래로 당겨서 잠금을 부탁드리며, 

 잠금장치가 미잠금 될 경우, 도난, 분실로 이어질수 
 있는 점 안내드립니다. 
 
 더불어 정해진 시간이 초과되어 초과요금 발생시 
  과금이 발생되는 점 안내드립니다. 

 다른 분들의 원활한 사용을 위해, 
 자전거 반납 여부 체크는 꼭 부탁드립니다. 

  감사합니다."
4,[안내] 아이폰6 결제관련 오류 안내,"[안내] 아이폰6 결제관련 오류 안내
2021.09.06
안녕하세요. 따릉이입니다. 

 애플사의 하위버전 지원중단등 정책으로 인해
 현재 ios12 버전(또는 아이폰6)에서 결제 처리가 어려우므로 
 PC에서 이용권 구매를 하여주시기 바라오며 

  따릉이 앱 권장 사양은 아이폰 7 이상, IOS버전 13이상 임을 
  재차 안내 하오니 반드시 이용에 참고하여 주시기 바랍니다. 

  감사합니다."
5,[안내]유실물 처리 관련 공지사항,"[안내]유실물 처리 관련 공지사항
2020.10.08
  안녕하십니까, 공공자전거 '따릉이' 입니다.

  최근 이용자께서 바구니에 개인 소지품을 놓고 반납하여 , 분실물 신고접수가 종종 발생하고 있습니다 . 이에, 공공자전거 '따릉이'는 분실 및 습득품목 리스트를 통합적으로 관리 운영하여, 유실물 발생예방을 위해 최선의 노력을 다하고 있습니다.

 다만, 이용하신 자전거의 다음 사용자에 관한 이용정보 확인 및 습득여부 확인을 위한 연락 요청은 개인정보보호법 18 조 및 ‘ 따릉이 이용약관 ’ 의 ‘ 개인정보처리방침 ’ 中 개인정보의 처리목적에 해당하지 않아 불가한 사항이며 경찰 수사협조 요청된 건에 한하여 가능합니다 .

공공자전거 ‘ 따릉이 ’ 는 유실물 예방을 위하여 최선의 노력을 다하고 있으며 , 분실신고 또는 유실물 습득시 , 공공자전거 콜센터 (02-1599-0120) 으로 연락하여 주시면 감사하겠습니다 ."
6,[안내] 유튜버에게 배우는 자전거 안전수칙안내,"[안내] 유튜버에게 배우는 자전거 안전수칙안내
2020.09.14

유투버에게 배우는 안전수칙 안내 :
https://m.blog.naver.com/2seoulbike/222049666311
  안전하게 자전거타자 ! 유튜버가 해주는 안전교육
  1. 장거리 라이딩을 위한 테이핑 방법
2. 야간라이딩 필수 ! 눈부심방지갓 제작방법
3. 자전거를 타면서 가장 기본적인 4 가지
4. 자전거 통증의 원인과 해결방법
5. 겨울철 자전거 탈 때 바닥 잘 봐야하는 이유
6. 자전거 피팅 방법"
7,개인정보 제공안내,"개인정보 제공안내
2019.03.11

- 공공기관에 제출용의 경우
1. www.open.go.kr (정보공개포털) 로그인
2. 상단 메뉴에 공개청구 > 청구신청 메뉴에서 로그인 후 신청
    (비회원으로도 가능합니다.)
    처리기간은 최대 1~2주일정도 소요예정됩니다."
8,1738. 창동주공17단지 상가앞 대여소 임시 폐쇄 안내,"1738. 창동주공17단지 상가앞 대여소 임시 폐쇄 안내
2021.09.23
안녕하세요?
서울 자전거 따릉이입니다.


아래 대여소를 임시 폐쇄하오니
이용에 착오 없으시길 바랍니다.


임시 폐쇄대여소 : 1738. 창동주공17단지 상가앞
사용중단기간 : 2021-09-23 ~ 공사 조치완료 시까지
사용중단사유 : 공사


이용에 불편드려 죄송합니다.
※ 불편사항 또는 문의사항 연락처 : 1599-0120"
9,2911.상계역중앙시장 대여소 임시 폐쇄 안내,"2911.상계역중앙시장 대여소 임시 폐쇄 안내
2021.09.23
안녕하세요?
서울 자전거 따릉이입니다.


아래 대여소를 임시 폐쇄하오니
이용에 착오 없으시길 바랍니다.


임시 폐쇄대여소 : 2911.상계역중앙시장
사용중단기간 : 2021-09-23 ~ 대여소 이전 공사 조치완료 시까지
사용중단사유 : 대여소 이전 공사

금일 이전 예정이었으나 이전되는 위치 공사가 필요하여 9월 29일 이전 완료 예정입니다.

이용에 불편드려 죄송합니다.
※ 불편사항 또는 문의사항 연락처 : 1599-0120"
